样品类型,编号,测量天数,剩磁(mT),温度(℃),相对湿度(%)
小号铁钉,1,0,2.444,9.0,90
小号铁钉,1,1,2.1788,9.0,90
小号铁钉,1,2,1.9523,7.5,85
小号铁钉,1,3,1.7493,7.5,85
小号铁钉,1,4,1.6555,7.5,75
小号铁钉,1,5,1.5628,8.5,80
小号铁钉,1,6,1.4781,9.5,75
小号铁钉,1,7,1.3985,8.5,75
小号铁钉,1,8,1.3258,9.0,70
小号铁钉,1,9,1.251,10.0,80
小号铁钉,1,10,1.1781,9.0,85
小号铁钉,1,11,1.1079,7.0,90
小号铁钉,1,12,1.0437,8.0,85
小号铁钉,1,13,0.9911,11.0,65
小号铁钉,1,14,0.9371,10.5,75
小号铁钉,1,15,0.8838,11.5,80
小号铁钉,1,22,0.4879,8.0,70
小号铁钉,1,30,0.2638,10.0,85
小号铁钉,1,37,0.1678,14.0,85
小号铁钉,1,44,0.1009,11.0,70
小号铁钉,1,51,0.0602,13.0,80
小号铁钉,1,58,0.0263,18.0,80
小号铁钉,1,90,0.0014,20.0,80
小号铁钉,2,0,3.7116,9.0,90
小号铁钉,2,1,3.3088,9.0,90
小号铁钉,2,2,2.9648,7.5,85
小号铁钉,2,3,2.6566,7.5,85
小号铁钉,2,4,2.5142,7.5,75
小号铁钉,2,5,2.3734,8.5,80
小号铁钉,2,6,2.2448,9.5,75
小号铁钉,2,7,2.1238,8.5,75
小号铁钉,2,8,2.0134,9.0,70
小号铁钉,2,9,1.8998,10.0,80
小号铁钉,2,10,1.7892,9.0,85
小号铁钉,2,11,1.6825,7.0,90
小号铁钉,2,12,1.585,8.0,85
小号铁钉,2,13,1.5051,11.0,65
小号铁钉,2,14,1.4231,10.5,75
小号铁钉,2,15,1.3422,11.5,80
小号铁钉,2,22,0.741,8.0,70
小号铁钉,2,30,0.4007,10.0,85
小号铁钉,2,37,0.2548,14.0,85
小号铁钉,2,44,0.1533,11.0,70
小号铁钉,2,51,0.0915,13.0,80
小号铁钉,2,58,0.04,18.0,80
小号铁钉,2,90,0.0022,20.0,80
小号铁钉,3,0,3.2304,9.0,90
小号铁钉,3,1,2.8798,9.0,90
小号铁钉,3,2,2.5805,7.5,85
小号铁钉,3,3,2.3122,7.5,85
小号铁钉,3,4,2.1882,7.5,75
小号铁钉,3,5,2.0657,8.5,80
小号铁钉,3,6,1.9538,9.5,75
小号铁钉,3,7,1.8484,8.5,75
小号铁钉,3,8,1.7524,9.0,70
小号铁钉,3,9,1.6535,10.0,80
小号铁钉,3,10,1.5572,9.0,85
小号铁钉,3,11,1.4643,7.0,90
小号铁钉,3,12,1.3795,8.0,85
小号铁钉,3,13,1.31,11.0,65
小号铁钉,3,14,1.2386,10.5,75
小号铁钉,3,15,1.1682,11.5,80
小号铁钉,3,22,0.6449,8.0,70
小号铁钉,3,30,0.3487,10.0,85
小号铁钉,3,37,0.2217,14.0,85
小号铁钉,3,44,0.1334,11.0,70
小号铁钉,3,51,0.0796,13.0,80
小号铁钉,3,58,0.0348,18.0,80
小号铁钉,3,90,0.0019,20.0,80
小号铁钉,4,0,2.937,9.0,90
小号铁钉,4,1,2.6183,9.0,90
小号铁钉,4,2,2.3461,7.5,85
小号铁钉,4,3,2.1023,7.5,85
小号铁钉,4,4,1.9895,7.5,75
小号铁钉,4,5,1.8781,8.5,80
小号铁钉,4,6,1.7763,9.5,75
小号铁钉,4,7,1.6806,8.5,75
小号铁钉,4,8,1.5932,9.0,70
小号铁钉,4,9,1.5033,10.0,80
小号铁钉,4,10,1.4158,9.0,85
小号铁钉,4,11,1.3314,7.0,90
小号铁钉,4,12,1.2543,8.0,85
小号铁钉,4,13,1.191,11.0,65
小号铁钉,4,14,1.1261,10.5,75
